epoch,train_loss,val_loss,val_auc,accuracy,lr
27,1.693971,1.052801,0.794344,0.00003520
28,1.735035,1.120410,0.796206,0.00002803
29,1.717906,1.060150,0.793489,0.00002140
30,1.773727,1.091156,0.792734,0.00001550
31,1.696974,1.147490,0.793187,0.00001045
32,1.789830,1.116255,0.794747,0.00000640
33,1.662841,1.116886,0.792985,0.00000342
34,1.670390,1.130716,0.793338,0.00000161
35,1.548978,1.112644,0.791878,0.00010000
36,1.659955,1.152339,0.795904,0.00009985
37,1.650136,1.136969,0.786897,0.00009939
38,1.562083,1.080186,0.796256,0.00009863
39,1.625207,1.164588,0.790168,0.00009758
40,1.658468,1.117716,0.792029,0.00009623
41,1.649832,1.114263,0.790520,0.00009460
42,1.677045,1.123723,0.794143,0.00009271
43,1.560102,1.100337,0.793187,0.00009055
44,1.558369,1.141774,0.792180,0.00008814
45,1.672553,1.156082,0.795854,0.00008550
46,1.580990,1.177175,0.795300,0.00008265
47,1.522529,1.152755,0.796709,0.00007960
48,1.516030,1.093516,0.798672,0.00007636
49,1.517551,1.111367,0.797112,0.00007297
50,1.476100,1.167873,0.791224,0.00006944
